title|link|summary|published|id
PA House Journal for January 05, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210105.pdf|Transcripts of House Floor Actions for January 05, 2021|Mon, 19 Apr 2021 15:18:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210105.pdf20210419111800
PA House Journal for January 11, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210111.pdf|Transcripts of House Floor Actions for January 11, 2021|Mon, 19 Apr 2021 15:19:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210111.pdf20210419111900
PA House Journal for January 12, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210112.pdf|Transcripts of House Floor Actions for January 12, 2021|Mon, 19 Apr 2021 15:20:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210112.pdf20210419112000
PA House Journal for January 13, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210113.pdf|Transcripts of House Floor Actions for January 13, 2021|Mon, 19 Apr 2021 15:20:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210113.pdf20210419112000
PA House Journal for January 25, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210125.pdf|Transcripts of House Floor Actions for January 25, 2021|Mon, 19 Apr 2021 15:20:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210125.pdf20210419112000
PA House Journal for January 26, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210126.pdf|Transcripts of House Floor Actions for January 26, 2021|Mon, 19 Apr 2021 15:20:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210126.pdf20210419112000
PA House Journal for January 27, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210127.pdf|Transcripts of House Floor Actions for January 27, 2021|Tue, 04 May 2021 17:00:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210127.pdf20210504010000
PA House Journal for January 28, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210128.pdf|Transcripts of House Floor Actions for January 28, 2021|Tue, 04 May 2021 17:01:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210128.pdf20210504010100
PA House Journal for February 03, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210203.pdf|Transcripts of House Floor Actions for February 03, 2021|Tue, 04 May 2021 17:01:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210203.pdf20210504010100
PA House Journal for February 04, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210204.pdf|Transcripts of House Floor Actions for February 04, 2021|Tue, 04 May 2021 17:01:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210204.pdf20210504010100
PA House Journal for February 05, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210205.pdf|Transcripts of House Floor Actions for February 05, 2021|Tue, 25 May 2021 18:02:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210205.pdf20210525020200
PA House Journal for February 26, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210226.pdf|Transcripts of House Floor Actions for February 26, 2021|Tue, 25 May 2021 18:03:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210226.pdf20210525020300
PA House Journal for March 11, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210311.pdf|Transcripts of House Floor Actions for March 11, 2021|Tue, 25 May 2021 18:03:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210311.pdf20210525020300
PA House Journal for March 15, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210315.pdf|Transcripts of House Floor Actions for March 15, 2021|Tue, 25 May 2021 18:04:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210315.pdf20210525020400
PA House Journal for March 16, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210316.pdf|Transcripts of House Floor Actions for March 16, 2021|Tue, 25 May 2021 18:04:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210316.pdf20210525020400
PA House Journal for March 17, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210317.pdf|Transcripts of House Floor Actions for March 17, 2021|Mon, 07 Jun 2021 15:06:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210317.pdf20210607110600
PA House Journal for March 22, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210322.pdf|Transcripts of House Floor Actions for March 22, 2021|Mon, 07 Jun 2021 15:06:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210322.pdf20210607110600
PA House Journal for March 23, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210323.pdf|Transcripts of House Floor Actions for March 23, 2021|Mon, 14 Jun 2021 15:44:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210323.pdf20210614114400
PA House Journal for March 24, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210324.pdf|Transcripts of House Floor Actions for March 24, 2021|Mon, 14 Jun 2021 15:44:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210324.pdf20210614114400
PA House Journal for April 05, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210405.pdf|Transcripts of House Floor Actions for April 05, 2021|Mon, 21 Jun 2021 15:03:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210405.pdf20210621110300
PA House Journal for April 06, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210406.pdf|Transcripts of House Floor Actions for April 06, 2021|Mon, 20 Sep 2021 18:35:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210406.pdf20210920023500
PA House Journal for April 07, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210407.pdf|Transcripts of House Floor Actions for April 07, 2021|Mon, 20 Sep 2021 18:35:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210407.pdf20210920023500
PA House Journal for April 19, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210419.pdf|Transcripts of House Floor Actions for April 19, 2021|Mon, 20 Sep 2021 18:36:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210419.pdf20210920023600
PA House Journal for April 20, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210420.pdf|Transcripts of House Floor Actions for April 20, 2021|Mon, 20 Sep 2021 18:37:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210420.pdf20210920023700
PA House Journal for April 21, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210421.pdf|Transcripts of House Floor Actions for April 21, 2021|Mon, 20 Sep 2021 18:37:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210421.pdf20210920023700
PA House Journal for May 03, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210503.pdf|Transcripts of House Floor Actions for May 03, 2021|Mon, 20 Sep 2021 18:38:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210503.pdf20210920023800
PA House Journal for May 04, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210504.pdf|Transcripts of House Floor Actions for May 04, 2021|Mon, 20 Sep 2021 18:38:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210504.pdf20210920023800
PA House Journal for May 05, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210505.pdf|Transcripts of House Floor Actions for May 05, 2021|Mon, 20 Sep 2021 18:38:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210505.pdf20210920023800
PA House Journal for May 24, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210524.pdf|Transcripts of House Floor Actions for May 24, 2021|Mon, 20 Sep 2021 18:39:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210524.pdf20210920023900
PA House Journal for May 25, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210525.pdf|Transcripts of House Floor Actions for May 25, 2021|Mon, 20 Sep 2021 18:39:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210525.pdf20210920023900
PA House Journal for May 26, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210526.pdf|Transcripts of House Floor Actions for May 26, 2021|Mon, 20 Sep 2021 18:40:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210526.pdf20210920024000
PA House Journal for June 07, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210607.pdf|Transcripts of House Floor Actions for June 07, 2021|Mon, 20 Sep 2021 18:40:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210607.pdf20210920024000
PA House Journal for June 08, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210608.pdf|Transcripts of House Floor Actions for June 08, 2021|Mon, 20 Sep 2021 18:40:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210608.pdf20210920024000
PA House Journal for June 09, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210609.pdf|Transcripts of House Floor Actions for June 09, 2021|Mon, 27 Sep 2021 16:22:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210609.pdf20210927122200
PA House Journal for June 10, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210610.pdf|Transcripts of House Floor Actions for June 10, 2021|Mon, 27 Sep 2021 16:22:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210610.pdf20210927122200
PA House Journal for June 14, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210614.pdf|Transcripts of House Floor Actions for June 14, 2021|Mon, 27 Sep 2021 16:23:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210614.pdf20210927122300
PA House Journal for June 15, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210615.pdf|Transcripts of House Floor Actions for June 15, 2021|Mon, 04 Oct 2021 15:40:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210615.pdf20211004114000
PA House Journal for June 16, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210616.pdf|Transcripts of House Floor Actions for June 16, 2021|Mon, 25 Oct 2021 16:36:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210616.pdf20211025123600
PA House Journal for June 21, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210621.pdf|Transcripts of House Floor Actions for June 21, 2021|Mon, 25 Oct 2021 16:37:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210621.pdf20211025123700
PA House Journal for June 22, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210622.pdf|Transcripts of House Floor Actions for June 22, 2021|Mon, 25 Oct 2021 16:37:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210622.pdf20211025123700
PA House Journal for June 23, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210623.pdf|Transcripts of House Floor Actions for June 23, 2021|Tue, 09 Nov 2021 16:01:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210623.pdf20211109110100
PA House Journal for June 24, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210624.pdf|Transcripts of House Floor Actions for June 24, 2021|Tue, 09 Nov 2021 16:02:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210624.pdf20211109110200
PA House Journal for June 25, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210625.pdf|Transcripts of House Floor Actions for June 25, 2021|Tue, 09 Nov 2021 16:02:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210625.pdf20211109110200
PA House Journal for September 15, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210915.pdf|Transcripts of House Floor Actions for September 15, 2021|Mon, 15 Nov 2021 19:09:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210915.pdf20211115020900
PA House Journal for September 20, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210920.pdf|Transcripts of House Floor Actions for September 20, 2021|Mon, 15 Nov 2021 19:09:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210920.pdf20211115020900
PA House Journal for September 21, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210921.pdf|Transcripts of House Floor Actions for September 21, 2021|Mon, 13 Dec 2021 18:42:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210921.pdf20211213014200
PA House Journal for September 22, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210922.pdf|Transcripts of House Floor Actions for September 22, 2021|Mon, 13 Dec 2021 18:42:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210922.pdf20211213014200
PA House Journal for September 27, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210927.pdf|Transcripts of House Floor Actions for September 27, 2021|Mon, 13 Dec 2021 18:43:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210927.pdf20211213014300
PA House Journal for September 28, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210928.pdf|Transcripts of House Floor Actions for September 28, 2021|Mon, 13 Dec 2021 18:43:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210928.pdf20211213014300
PA House Journal for September 29, 2021|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210929.pdf|Transcripts of House Floor Actions for September 29, 2021|Mon, 13 Dec 2021 18:43:00 GMT|https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210929.pdf20211213014300
